event_id,timestamp_start,timestamp_end,line_id,station_id,robot_id,failure_code,failure_category,downtime_minutes,shift,pieces_lost,day_of_week
1,2024-06-12T03:01:00,2024-06-12T03:12:43.902135,FinalAssembly,FA_Station_02,R008,E01,mechanical,12.9,night,1,Wednesday
2,2024-01-27T21:47:00,2024-01-27T21:51:14.394438,FinalAssembly,FA_Conv_01,R019,E02,electrical,4.2,afternoon,2,Saturday
3,2024-01-08T02:13:00,2024-01-08T02:14:29.758153,BodyShop,BS_Weld_01,R018,E01,mechanical,1.7,night,1,Monday
4,2024-06-15T22:34:00,2024-06-15T23:04:46.875093,PaintShop,PS_Paint_01,R015,E03,programming,33.9,night,12,Saturday
5,2024-01-02T05:44:00,2024-01-02T05:45:00,PaintShop,PS_Oven_01,R009,E01,mechanical,1.1,night,0,Tuesday
6,2024-03-27T03:05:00,2024-03-27T03:10:03.917134,PaintShop,PS_Prep_01,R012,E05,material_supply,5.6,night,0,Wednesday
7,2024-06-03T08:51:00,2024-06-03T09:00:04.130594,BodyShop,BS_QC_01,R018,E01,mechanical,9.5,morning,0,Monday
8,2024-04-06T02:35:00,2024-04-06T02:43:36.334489,PaintShop,PS_Oven_01,R019,E01,mechanical,9.5,night,4,Saturday
9,2024-01-18T01:42:00,2024-01-18T02:05:39.556311,BodyShop,BS_Trans_01,R003,E05,material_supply,27.3,night,7,Thursday
10,2024-01-26T12:17:00,2024-01-26T12:28:24.415827,PaintShop,PS_Oven_01,R006,E02,electrical,11.4,morning,2,Friday
11,2024-02-23T21:17:00,2024-02-23T21:32:13.402032,FinalAssembly,FA_Conv_01,R020,E03,programming,15.2,afternoon,3,Friday
12,2024-05-16T23:15:00,2024-05-16T23:33:03.043733,BodyShop,BS_QC_01,R013,E02,electrical,20.8,night,7,Thursday
13,2024-06-12T22:35:00,2024-06-12T22:57:26.257082,BodyShop,BS_Trans_01,R027,E04,sensor,25.9,night,7,Wednesday
14,2024-01-15T07:52:00,2024-01-15T07:56:40.441878,BodyShop,BS_Trans_01,R013,E02,electrical,4.9,morning,0,Monday
15,2024-02-24T18:56:00,2024-02-24T18:57:40.895896,FinalAssembly,FA_Station_02,R007,E04,sensor,1.7,afternoon,0,Saturday
